panel,symbol,predictor,target,kind,pred_family,rho_search,t_search,n_search,rho_hold,t_hold,n_hold
ETF,SPY,fc_vol x open30_vol_rel,rest30_eff_range,interaction,opening,0.06332306673162116,2.677727439858842,1783,-0.03704042669079081,-1.0464133477129263,799
ETF,SPY,open30_vol_rel,rest30_eff_mfe,main,opening,0.010492379372176156,0.45022000272682466,1843,-0.01746101820721647,-0.49302045866745253,799
ETF,SPY,fc_vol x open30_vol_rel,rest30_eff_mfe,interaction,opening,-0.003027399753912533,-0.12776259411562346,1783,-0.031011591451386503,-0.8759153751442796,799
ETF,SPY,open30_vol_rel,rest30_eff_vol,main,opening,-0.01297336973212462,-0.5566936152325577,1843,0.013927818607846271,0.3932370142151269,799
ETF,SPY,fc_vol x open30_vol_rel,rest30_eff_vol,interaction,opening,0.06534638150508648,2.7636480840666726,1783,-0.026361217499317757,-0.7444672136077524,799
FUTURES,ES,gap_pct,eff_range,main,prior RTH,0.01791257073971307,0.2633021947479705,218,0.14311827189455395,1.3870207968241626,94
FUTURES,ES,fc_vol x gap_pct,eff_range,interaction,prior RTH,-0.04952641450634921,-0.5782819404414921,138,0.13056137570833887,1.263112678294248,94
FUTURES,ES,gap_pct,eff_mfe,main,prior RTH,-0.039255420561945024,-0.577379539089939,218,0.20088143933344327,1.9668808409522849,94
FUTURES,ES,fc_vol x gap_pct,eff_mfe,interaction,prior RTH,-0.1470790362315035,-1.734080137263126,138,0.20419044880023646,2.0006778992058516,94
FUTURES,ES,gap_pct,rest1_eff_range,main,prior RTH,0.03986234751694807,0.5863204870021206,218,0.12781590933851047,1.236105785876786,94
FUTURES,ES,fc_vol x gap_pct,rest1_eff_range,interaction,prior RTH,-0.015345134238531101,-0.17897455222057176,138,0.118192327221112,1.1416632123495196,94
FUTURES,ES,gap_pct,rest1_eff_mfe,main,prior RTH,-0.010010042474921552,-0.14712434938733432,218,0.2438768876672557,2.412012764738664,94
FUTURES,ES,fc_vol x gap_pct,rest1_eff_mfe,interaction,prior RTH,-0.07581697257237052,-0.8867224476058907,138,0.24981576491988447,2.4746101467245856,94
FUTURES,ES,gap_pct,rest1_eff_vol,main,prior RTH,0.05625809724750931,0.8281333415569059,218,0.08687233587056978,0.836412270177894,94
FUTURES,ES,fc_vol x gap_pct,rest1_eff_vol,interaction,prior RTH,0.0007968236645212551,0.00929248386302492,138,0.07872263569907918,0.7574316412101887,94
FUTURES,ES,gap_pct,rest5_eff_range,main,prior RTH,0.038260428403530694,0.5627231865048702,218,0.1556968428152677,1.511828575277445,94
FUTURES,ES,fc_vol x gap_pct,rest5_eff_range,interaction,prior RTH,-0.029062373712581822,-0.33906582753960696,138,0.1403511307902269,1.3596589406825645,94
FUTURES,ES,gap_pct,rest5_eff_mfe,main,prior RTH,0.008067570682461075,0.11857244856320152,218,0.20220505900401992,1.980391329049678,94
FUTURES,ES,fc_vol x gap_pct,rest5_eff_mfe,interaction,prior RTH,-0.07696312007835812,-0.9002065681145759,138,0.20039881807962626,1.9619574131056208,94
FUTURES,ES,gap_pct,rest5_eff_vol,main,prior RTH,0.05477315544923453,0.8062079547845661,218,0.10138718307316247,0.9775087578103412,94
FUTURES,ES,fc_vol x gap_pct,rest5_eff_vol,interaction,prior RTH,-0.0009018491331974089,-0.010517282101185218,138,0.08787659856900698,0.8461561895979527,94
FUTURES,ES,gap_pct,rest15_eff_range,main,prior RTH,0.02310638626879478,0.3396838285178892,218,0.04524617171010567,0.4344309480246149,94
FUTURES,ES,fc_vol x gap_pct,rest15_eff_range,interaction,prior RTH,-0.04867251080796388,-0.5682876779237868,138,0.039148324377039134,0.37578560955975665,94
FUTURES,ES,gap_pct,rest15_eff_mfe,main,prior RTH,0.010629163916904974,0.15622499326376116,218,-0.12010692876849234,-1.160425556184171,94
FUTURES,ES,fc_vol x gap_pct,rest15_eff_mfe,interaction,prior RTH,-0.05529134293327001,-0.6457902104489035,138,-0.11705801611568291,-1.130553514540609,94
FUTURES,ES,gap_pct,rest15_eff_vol,main,prior RTH,0.032503661678851596,0.4779568598805305,218,0.020424824809223283,0.1959489139640716,94
FUTURES,ES,fc_vol x gap_pct,rest15_eff_vol,interaction,prior RTH,-0.018126025996086658,-0.2114187052147443,138,0.016480023130469864,0.15809229856146892,94
FUTURES,ES,gap_pct,rest30_eff_range,main,prior RTH,0.03835254667234235,0.5640800284562543,218,0.14267032738158192,1.3825892282705947,94
FUTURES,ES,fc_vol x gap_pct,rest30_eff_range,interaction,prior RTH,-0.02367867686174767,-0.27621589661414475,138,0.14803121171424685,1.4356828669056423,94
FUTURES,ES,gap_pct,rest30_eff_mfe,main,prior RTH,0.03630005606186873,0.5338515323586428,218,0.19250484984110344,1.881635727778625,94
FUTURES,ES,fc_vol x gap_pct,rest30_eff_mfe,interaction,prior RTH,0.03392554827354983,0.3958643541842563,138,0.2300745253528878,2.2676310315224124,94
FUTURES,ES,gap_pct,rest30_eff_vol,main,prior RTH,0.03924497311875738,0.5772256381528023,218,0.11970955863601718,1.1565304118745714,94
FUTURES,ES,fc_vol x gap_pct,rest30_eff_vol,interaction,prior RTH,0.014157889810018056,0.16512449891862713,138,0.11531681244429175,1.1135084868288594,94
FUTURES,ES,abs_gap_pct,eff_range,main,prior RTH,-0.040477463919599284,-0.5953827410660324,218,0.1056787805038942,1.0193432503294495,94
FUTURES,ES,fc_vol x abs_gap_pct,eff_range,interaction,prior RTH,0.030592127418890516,0.3569295070602583,138,0.09039086777084983,0.8705625099221839,94
FUTURES,ES,abs_gap_pct,eff_mfe,main,prior RTH,-0.11001780309569532,-1.6268001818552789,218,-0.0044071960147245145,-0.042272749695432564,94
FUTURES,ES,fc_vol x abs_gap_pct,eff_mfe,interaction,prior RTH,-0.0710816938324935,-0.831050018023027,138,-0.04813236040999133,-0.46220509398960696,94
FUTURES,ES,abs_gap_pct,rest1_eff_range,main,prior RTH,0.001139188969269303,0.016742601035772787,218,0.11353948421540286,1.096120555255314,94
FUTURES,ES,fc_vol x abs_gap_pct,rest1_eff_range,interaction,prior RTH,0.02792992518076938,0.3258432171123717,138,0.0954627556435328,0.9198475270753728,94
FUTURES,ES,abs_gap_pct,rest1_eff_mfe,main,prior RTH,-0.04425522944218095,-0.651054249090876,218,0.03147893940353231,0.3020850885461391,94
FUTURES,ES,fc_vol x abs_gap_pct,rest1_eff_mfe,interaction,prior RTH,-0.0537798894492784,-0.6280848518224212,138,-0.01591648003350509,-0.15268485475295732,94
FUTURES,ES,abs_gap_pct,rest1_eff_vol,main,prior RTH,-0.017567371126001912,-0.258226421313932,218,0.1645690341367131,1.6003100423942322,94
FUTURES,ES,fc_vol x abs_gap_pct,rest1_eff_vol,interaction,prior RTH,0.05626397009970569,0.6571860360006657,138,0.1458420635298837,1.4139864361420351,94
FUTURES,ES,abs_gap_pct,rest5_eff_range,main,prior RTH,-0.01697548426404929,-0.2495236023340232,218,0.017151939899927863,0.16453983280431694,94
FUTURES,ES,fc_vol x abs_gap_pct,rest5_eff_range,interaction,prior RTH,-0.0008287879375966062,-0.009665248509786884,138,0.014406473530099478,0.13819638162127806,94
FUTURES,ES,abs_gap_pct,rest5_eff_mfe,main,prior RTH,-0.09080389606329556,-1.3400754012257234,218,0.017982934643263143,0.17251414626772796,94
FUTURES,ES,fc_vol x abs_gap_pct,rest5_eff_mfe,interaction,prior RTH,-0.09728783142955644,-1.1399690152793422,138,0.0028394107331468125,0.027234780790388016,94
FUTURES,ES,abs_gap_pct,rest5_eff_vol,main,prior RTH,-0.030264665972092507,-0.4450017795847949,218,0.08124412981242157,0.7818509357680091,94
FUTURES,ES,fc_vol x abs_gap_pct,rest5_eff_vol,interaction,prior RTH,0.02370607481009797,0.27653567806783086,138,0.07820966698261125,0.7524656254587669,94
FUTURES,ES,abs_gap_pct,rest15_eff_range,main,prior RTH,-0.02520059617801006,-0.3704892731043865,218,0.07165331863233101,0.6890456130740968,94
FUTURES,ES,fc_vol x abs_gap_pct,rest15_eff_range,interaction,prior RTH,0.01898908304671337,0.22148879594485282,138,0.07068517699414271,0.6796885223095441,94
FUTURES,ES,abs_gap_pct,rest15_eff_mfe,main,prior RTH,-0.04293132800263347,-0.6315413505276363,218,0.08885196162144604,0.8556221971778327,94
FUTURES,ES,fc_vol x abs_gap_pct,rest15_eff_mfe,interaction,prior RTH,-0.005993301201628351,-0.0698945573016419,138,0.08918430755042527,0.8588482168993444,94
FUTURES,ES,abs_gap_pct,rest15_eff_vol,main,prior RTH,-0.041442269991867564,-0.6095981973251348,218,0.15160031799502374,1.4711023503443648,94
FUTURES,ES,fc_vol x abs_gap_pct,rest15_eff_vol,interaction,prior RTH,0.03273369879152216,0.38194192526893894,138,0.1451412471144275,1.4070452154489494,94
FUTURES,ES,abs_gap_pct,rest30_eff_range,main,prior RTH,-0.08494699319207837,-1.252989697663929,218,0.02421067843498664,0.23228875849286976,94
FUTURES,ES,fc_vol x abs_gap_pct,rest30_eff_range,interaction,prior RTH,-0.009061871416862065,-0.10568301192016069,138,-0.0007441658844534836,-0.00713779039086509,94
FUTURES,ES,abs_gap_pct,rest30_eff_mfe,main,prior RTH,-0.07469606130667092,-1.1008788896342667,218,-0.05945762396619794,-0.5713082357449216,94
FUTURES,ES,fc_vol x abs_gap_pct,rest30_eff_mfe,interaction,prior RTH,-0.005303792222858621,-0.06185318460120079,138,-0.12069619505040644,-1.166202768026947,94
FUTURES,ES,abs_gap_pct,rest30_eff_vol,main,prior RTH,-0.06415770962210682,-0.9448685546066057,218,0.1132360379324218,1.0931529543596805,94
FUTURES,ES,fc_vol x abs_gap_pct,rest30_eff_vol,interaction,prior RTH,0.03310813741897627,0.3863157010285748,138,0.10174842864813988,0.981028020182219,94
FUTURES,ES,prev_ret_pct,eff_range,main,prior RTH,-0.07065769003013168,-1.0386410664308676,217,0.12844706137340606,1.242311787032951,94
FUTURES,ES,fc_vol x prev_ret_pct,eff_range,interaction,prior RTH,-0.08140168063778667,-0.9524594220770116,138,0.14312755120471046,1.3871126073373004,94
FUTURES,ES,prev_ret_pct,eff_mfe,main,prior RTH,-0.06745565952150734,-0.9913521557090017,217,0.026088212982696958,0.2503145443127672,94
FUTURES,ES,fc_vol x prev_ret_pct,eff_mfe,interaction,prior RTH,-0.06812728173538604,-0.7963440006518392,138,0.021233247841635664,0.20370808483742475,94
FUTURES,ES,prev_ret_pct,rest1_eff_range,main,prior RTH,-0.0582836567595372,-0.8560614165244005,217,0.1427663186793339,1.3835388085317837,94
FUTURES,ES,fc_vol x prev_ret_pct,rest1_eff_range,interaction,prior RTH,-0.04917246780170278,-0.5741391232550274,138,0.15643535743958387,1.5191790671128858,94
FUTURES,ES,prev_ret_pct,rest1_eff_mfe,main,prior RTH,-0.04420278153745738,-0.6487741313599062,217,0.08648629122566195,0.8326673340637948,94
FUTURES,ES,fc_vol x prev_ret_pct,rest1_eff_mfe,interaction,prior RTH,-0.03042770480537182,-0.3550093458906764,138,0.089000469602283,0.8570637006827565,94
FUTURES,ES,prev_ret_pct,rest1_eff_vol,main,prior RTH,0.004661142349807635,0.06834650546834732,217,0.22271430119567967,2.191236151969247,94
FUTURES,ES,fc_vol x prev_ret_pct,rest1_eff_vol,interaction,prior RTH,0.014646486555598427,0.1708242406223159,138,0.23576202001228191,2.326944512810554,94
FUTURES,ES,prev_ret_pct,rest5_eff_range,main,prior RTH,-0.06903812678158541,-1.0147187474893455,217,0.11909836361666006,1.1505403902280433,94
FUTURES,ES,fc_vol x prev_ret_pct,rest5_eff_range,interaction,prior RTH,-0.09047487493978158,-1.0594543866003114,138,0.12934291803634002,1.2511232172069957,94
FUTURES,ES,prev_ret_pct,rest5_eff_mfe,main,prior RTH,-0.09164452456380415,-1.3494512901896958,217,0.10808877714964132,1.0428609959629918,94
FUTURES,ES,fc_vol x prev_ret_pct,rest5_eff_mfe,interaction,prior RTH,-0.1343115923002632,-1.5806509103026727,138,0.1033493721760323,0.9966291874379628,94
FUTURES,ES,prev_ret_pct,rest5_eff_vol,main,prior RTH,0.0045953766729144065,0.06738216036593514,217,0.19823718527616227,1.9399238603636033,94
FUTURES,ES,fc_vol x prev_ret_pct,rest5_eff_vol,interaction,prior RTH,-0.007212509903216747,-0.08411378441406976,138,0.21064913484810174,2.066852101661725,94
FUTURES,ES,prev_ret_pct,rest15_eff_range,main,prior RTH,-0.0514675594365368,-0.7556640669383343,217,0.07820712425411086,0.7524410109757658,94
FUTURES,ES,fc_vol x prev_ret_pct,rest15_eff_range,interaction,prior RTH,-0.044759166051192595,-0.5225007351245177,138,0.09676009377693366,0.9324655929853528,94
FUTURES,ES,prev_ret_pct,rest15_eff_mfe,main,prior RTH,0.016325178866773492,0.239406015276419,217,0.07541812664812339,0.7254513456426624,94
FUTURES,ES,fc_vol x prev_ret_pct,rest15_eff_mfe,interaction,prior RTH,0.022783677215637836,0.265770040693819,138,0.09032980529566882,0.8699695720812531,94
FUTURES,ES,prev_ret_pct,rest15_eff_vol,main,prior RTH,0.023201191298261443,0.34028784438775733,217,0.17110139796987323,1.6657104805461482,94
FUTURES,ES,fc_vol x prev_ret_pct,rest15_eff_vol,interaction,prior RTH,0.0350762233754729,0.40930741374397206,138,0.19065130224325397,1.8628314348960087,94
FUTURES,ES,prev_ret_pct,rest30_eff_range,main,prior RTH,0.025319815339174975,0.3713804346550952,217,0.17691001697792869,1.7240547366690298,94
FUTURES,ES,fc_vol x prev_ret_pct,rest30_eff_range,interaction,prior RTH,0.023573651393071514,0.27499007347083937,138,0.17705450998807934,1.7255084276107784,94
FUTURES,ES,prev_ret_pct,rest30_eff_mfe,main,prior RTH,0.18367505121833208,2.739817389214795,217,0.205672093604252,2.015834009102417,94
FUTURES,ES,fc_vol x prev_ret_pct,rest30_eff_mfe,interaction,prior RTH,0.19927235532452758,2.3714566246308735,138,0.18491559771676377,1.804772479535628,94
FUTURES,ES,prev_ret_pct,rest30_eff_vol,main,prior RTH,0.0686382277089587,1.008813148458027,217,0.22556081349564716,2.2207336469639833,94
FUTURES,ES,fc_vol x prev_ret_pct,rest30_eff_vol,interaction,prior RTH,0.0644376913575455,0.7530311573215619,138,0.23489506195137808,2.317887061161663,94
FUTURES,ES,prev_range_pct,eff_range,main,prior RTH,-0.013549510911114247,-0.19869306928800365,217,0.09261279485604884,0.892144983157517,94
FUTURES,ES,fc_vol x prev_range_pct,eff_range,interaction,prior RTH,-0.0240280281331744,-0.28029347720515996,138,0.04738648267890041,0.4550263379176205,94
FUTURES,ES,prev_range_pct,eff_mfe,main,prior RTH,-0.060947202461527294,-0.8953258308438607,217,0.029714987537477873,0.2851420631339828,94
FUTURES,ES,fc_vol x prev_range_pct,eff_mfe,interaction,prior RTH,-0.12173136768274999,-1.4302561944311256,138,-0.011465520355452806,-0.10998063706724784,94
FUTURES,ES,prev_range_pct,rest1_eff_range,main,prior RTH,-0.018612860947871308,-0.27296540183837636,217,0.0673265180796879,0.6472418700499084,94
FUTURES,ES,fc_vol x prev_range_pct,rest1_eff_range,interaction,prior RTH,-0.04388923009481973,-0.5123256539857888,138,0.024773326590326192,0.23769034978121237,94
FUTURES,ES,prev_range_pct,rest1_eff_mfe,main,prior RTH,-0.052953144863677394,-0.7775364037812131,217,0.022938265361413142,0.2200740173532472,94
FUTURES,ES,fc_vol x prev_range_pct,rest1_eff_mfe,interaction,prior RTH,-0.14526163899093356,-1.7121879619715823,138,-0.026651735722284433,-0.2557253075528787,94
FUTURES,ES,prev_range_pct,rest1_eff_vol,main,prior RTH,-0.021463098408940375,-0.31478331299694357,217,0.07690640465267493,0.739851525479915,94
FUTURES,ES,fc_vol x prev_range_pct,rest1_eff_vol,interaction,prior RTH,-0.02636367580007717,-0.30755755222527636,138,0.039237076906404655,0.3766388591354286,94
FUTURES,ES,prev_range_pct,rest5_eff_range,main,prior RTH,-0.04108946747695662,-0.60299911107507,217,0.11276956977206228,1.0885916592246625,94
FUTURES,ES,fc_vol x prev_range_pct,rest5_eff_range,interaction,prior RTH,-0.07177120886597609,-0.8391530063263402,138,0.06790449012029043,0.6528238193718416,94
FUTURES,ES,prev_range_pct,rest5_eff_mfe,main,prior RTH,-0.058293673279458565,-0.8562090392349936,217,-0.022671117084123685,-0.217509620894446,94
FUTURES,ES,fc_vol x prev_range_pct,rest5_eff_mfe,interaction,prior RTH,-0.14680049042327545,-1.730723645207791,138,-0.03738783649150417,-0.3588624353662605,94
FUTURES,ES,prev_range_pct,rest5_eff_vol,main,prior RTH,-0.04129027560516167,-0.6059510454502316,217,0.13039771701043962,1.2615019613043863,94
FUTURES,ES,fc_vol x prev_range_pct,rest5_eff_vol,interaction,prior RTH,-0.057291393162841986,-0.6692259191296472,138,0.09372539103420871,0.9029571082388718,94
FUTURES,ES,prev_range_pct,rest15_eff_range,main,prior RTH,-0.04271601915311245,-0.6269120014760879,217,0.20461729081985475,2.005042694555516,94
FUTURES,ES,fc_vol x prev_range_pct,rest15_eff_range,interaction,prior RTH,-0.028667419350070108,-0.3344541453154384,138,0.15672490960225655,1.5220617136926557,94
FUTURES,ES,prev_range_pct,rest15_eff_mfe,main,prior RTH,-0.07480856728389837,-1.0999911884728677,217,0.14052667702199906,1.361393792016888,94
FUTURES,ES,fc_vol x prev_range_pct,rest15_eff_mfe,interaction,prior RTH,-0.10755749573619429,-1.2616441338446815,138,0.12408337246685691,1.1994353799701452,94
FUTURES,ES,prev_range_pct,rest15_eff_vol,main,prior RTH,-0.0452773197668137,-0.6645773825845093,217,0.2015316259075967,1.973516035409062,94
FUTURES,ES,fc_vol x prev_range_pct,rest15_eff_vol,interaction,prior RTH,-0.019820132469080272,-0.23118589167515563,138,0.1626919047791063,1.5815571436782245,94
FUTURES,ES,prev_range_pct,rest30_eff_range,main,prior RTH,-0.05725848407591907,-0.8409538632444488,217,0.2055918794928295,2.015013109725306,94
FUTURES,ES,fc_vol x prev_range_pct,rest30_eff_range,interaction,prior RTH,-0.036838824719342265,-0.42990263886146035,138,0.16548061987501356,1.6094233992052396,94
FUTURES,ES,prev_range_pct,rest30_eff_mfe,main,prior RTH,-0.04654632700990715,-0.6832436739183412,217,0.010035075804984757,0.09625791260886471,94
FUTURES,ES,fc_vol x prev_range_pct,rest30_eff_mfe,interaction,prior RTH,0.008963705668077034,0.10453807289813134,138,-0.031463466616780865,-0.30193645803024854,94
FUTURES,ES,prev_range_pct,rest30_eff_vol,main,prior RTH,-0.051420538620893755,-0.7549718603829475,217,0.2358487158183723,2.327850581062188,94
FUTURES,ES,fc_vol x prev_range_pct,rest30_eff_vol,interaction,prior RTH,-0.011208044037635647,-0.1307153417424112,138,0.2070946067983961,2.03039886523971,94
FUTURES,ES,prev_rv_pct,eff_range,main,prior RTH,0.06797362440175884,0.9989995497134049,217,-0.103131885995015,-0.9945093316006174,94
FUTURES,ES,fc_vol x prev_rv_pct,eff_range,interaction,prior RTH,0.006004723868324655,0.07002777453297622,138,-0.0855615359606979,-0.8236980156247192,94
FUTURES,ES,prev_rv_pct,eff_mfe,main,prior RTH,-0.028449543897152027,-0.41732111896509744,217,-0.13778130982913703,-1.3342773345201835,94
