strategy,symbol,n_sessions,n_trades,gross_pnl,costs,net_pnl,expectancy_per_trade,expectancy_per_session,win_rate,avg_win,avg_loss,payoff_ratio,profit_factor,max_drawdown,max_dd_duration,sharpe,sortino,t_stat,consec_losing_days,time_in_market,exposure,return_vol,trades_per_session,median_holding_minutes,mean_mae,mean_mfe,exit_reason_mix,regime,contracts
session.late_day_fade,ES,310,2908,18737.5,47342.240000000005,-28604.73999999995,-9.836568088033005,-92.27335483870952,0.5814993122420908,113.20698994677707,-180.80341824157765,0.6261330181021099,0.8700007671410581,-40409.619999999966,302,-1.8196214298487663,-2.6061859082367445,-2.0181879994361016,6,0.22593845392294368,0.22593845392294368,804.9993659212985,9.380645161290323,3.0,-150.61468363136177,87.28077716643742,forced_flatten:301|signal_flat:460|signal_flip:2147,normal,1
session.opening_drive,ES,310,2915,287.5,47456.200000000004,-47168.69999999998,-16.181372212692956,-152.1570967741935,0.3149228130360206,348.7254466230937,-183.92521782674012,1.8960175811867055,0.8715794389230823,-50962.49999999999,300,-1.823189900156221,-2.378796353904846,-2.022145879813147,6,0.18713802491543602,0.18713802491543602,1324.8312912778085,9.403225806451612,3.0,-134.01372212692968,230.0943396226415,signal_flat:549|signal_flip:2366,normal,1
session.midday_reversion,ES,310,2256,22862.5,36727.68,-13865.179999999975,-6.14591312056737,-44.72638709677411,0.5966312056737588,78.4729717682021,-131.30747252747253,0.5976276159895146,0.8839634847493262,-14804.359999999979,304,-1.3105131876843823,-1.4966195187936557,-1.4535232137308876,12,0.07303852817424306,0.07303852817424306,541.7796558441274,7.27741935483871,2.0,-109.22539893617021,59.557845744680854,signal_flat:2256,normal,1
vol.expansion_trend,ES,310,5783,-30487.5,94147.24,-124634.74000000003,-21.55191768978038,-402.04754838709687,0.3316617672488328,277.3135870698644,-169.86344113842173,1.63256781571899,0.8101591385637835,-124640.1599999999,305,-4.253275777514885,-6.455746192226089,-4.717415387433762,19,0.4149740120452108,0.4149740120452108,1500.5626964687126,18.65483870967742,3.0,-124.39693930485907,184.48685803216324,forced_flatten:242|signal_flat:2028|signal_flip:3513,normal,1
vol.contraction_revert,ES,310,3251,19025.0,52926.280000000006,-33901.27999999996,-10.427954475545976,-109.35896774193536,0.5816671793294371,68.8204759386568,-120.61823529411764,0.5705644405329239,0.7933362919468817,-35395.09999999997,304,-3.063117277213232,-3.8274871623537,-3.3973805915502595,9,0.09716195033413084,0.09716195033413084,566.7493721490068,10.487096774193548,2.0,-90.90664410950477,52.464626268840355,forced_flatten:16|signal_flat:3235,normal,1
vol.vol_of_vol_shock,ES,310,1121,-18375.0,18249.88,-36624.87999999999,-32.6716146297948,-118.14477419354836,0.3024085637823372,356.8394690265487,-201.5261636828644,1.7706855651164788,0.7675989853893685,-41351.25999999998,308,-2.0450616812165094,-1.7738068746431563,-2.2682294654448043,5,0.09620493358633776,0.09620493358633776,917.0824354756987,3.6161290322580646,4.0,-157.5379125780553,244.85950044603032,forced_flatten:40|signal_flat:227|signal_flip:854,normal,1
volume.heavy_continuation.q80,ES,310,7444,-21450.0,121188.32,-142638.3199999999,-19.161515314347117,-460.1236129032255,0.35491671144545944,107.07825132475399,-88.61704706372343,1.2083256537283997,0.6648055762495694,-142731.0199999999,309,-7.693086619233873,-11.20878660748336,-8.532596307601558,18,0.135046613315733,0.135046613315733,949.4545263901257,24.01290322580645,1.0,-53.56663084363245,65.45540032240731,forced_flatten:306|signal_flat:6500|signal_flip:638,normal,1
volume.heavy_continuation.q90,ES,310,3913,-16787.5,63703.64000000001,-80491.13999999996,-20.57018655762841,-259.64883870967725,0.37464860720674675,113.76774897680765,-101.05217000408662,1.1258318250088721,0.6744869045619152,-81194.32000000002,309,-5.602897170163704,-7.462226199583598,-6.214314497185656,11,0.06646316310535436,0.06646316310535436,735.6546813931145,12.62258064516129,1.0,-59.66010733452594,69.76105290058779,forced_flatten:306|signal_flat:3282|signal_flip:325,normal,1
volume.climax_reversion,ES,310,1061,-350.0,17273.08,-17623.079999999987,-16.609877474081042,-56.84864516129028,0.5664467483506126,120.24246256239601,-195.41043478260866,0.6153328643691114,0.8039457640996432,-18725.860000000015,309,-1.7823478053139166,-1.9250042863194952,-1.9768468828182495,7,0.03792591370348981,0.03792591370348981,506.3233237170752,3.42258064516129,3.0,-151.4019792648445,84.60179076343073,forced_flatten:111|signal_flat:949|signal_flip:1,normal,1
added.donchian_breakout,ES,310,417,-12300.0,6788.76,-19088.759999999995,-45.77640287769783,-61.57664516129031,0.09352517985611511,1010.6430769230772,-154.7720634920635,6.529880484373729,0.6737178277528452,-19088.760000000002,309,-1.2894096463251057,-1.6717624807310592,-1.4301167440013927,4,0.08279844897285701,0.08279844897285701,758.0980495877224,1.3451612903225807,4.0,-128.65707434052757,276.378896882494,forced_flatten:45|signal_flat:372,normal,1
