variant,symbol,anchor,sigma,hold,tr_trades,tr_sessions,tr_bps_per_trade,tr_bps_per_day,tr_win_rate,tr_profit_factor,tr_sharpe,tr_t_stat,tr_max_dd_bps,tr_trades_per_day,tr_median_bars,tr_pct_reversion,tr_mfe_mae,va_trades,va_sessions,va_bps_per_trade,va_bps_per_day,va_win_rate,va_profit_factor,va_sharpe,va_t_stat,va_max_dd_bps,va_trades_per_day,va_median_bars,va_pct_reversion,va_mfe_mae
vwap.2.5sd.60m,DIA,vwap,2.5,60,5442,1427,-0.77322918002921,-2.948782899592825,0.5262771040058802,0.9091398645027495,-0.9926370058215344,-2.3621212029746514,-4493.523875666972,3.813594954449895,60.0,0.2756339581036384,0.7960993242775242,1879,498,-1.8168605324254261,-6.855182611299953,0.49334752527940395,0.8381666641577566,-2.0331712369500274,-2.8581719854661816,-3719.422905864703,3.7730923694779115,60.0,0.27142096860031933,0.7772442307555648
ma60.1.5sd.30m,SPY,ma60,1.5,30,10658,1496,-0.5499284243089552,-3.917872423987195,0.5760930756239444,0.9035727161041944,-1.6223213053133305,-3.9527777659291603,-6098.185146354599,7.124331550802139,29.0,0.5250516044285982,0.6984962006147666,3659,498,-0.7676024814765414,-5.639874457274428,0.5676414320852692,0.9060989852198829,-1.7360295079620212,-2.4404589320489403,-2805.9717963724856,7.347389558232932,29.0,0.5195408581579667,0.7110466095664446
ma60.1.5sd.30m,QQQ,ma60,1.5,30,10334,1492,-0.8281298976141583,-5.735854129989754,0.5726727307915618,0.8903489296089624,-1.8533268050561558,-4.509580545525538,-8890.761549568066,6.92627345844504,30.0,0.510644474550029,0.6939325604090262,3582,498,-0.7880176936205361,-5.66803088062,0.5703517587939698,0.9262915519159747,-1.3131781695684983,-1.846027028110417,-3149.1284673004707,7.192771084337349,30.0,0.5083752093802345,0.7111380430379204
ma60.1.5sd.30m,IWM,ma60,1.5,30,10400,1494,-0.3728208099054583,-2.595272036825145,0.5825961538461538,0.9558184574202917,-0.7306788269908672,-1.7791048813068535,-5419.146618020626,6.961178045515395,29.0,0.5200961538461538,0.7051447815132913,3463,498,-0.696282182402531,-4.841817665983864,0.5720473577822697,0.9351282757883879,-1.1059981660555582,-1.5547795073763708,-2432.9404419783255,6.953815261044177,30.0,0.50360958706324,0.7268950292635082
ma60.1.5sd.30m,DIA,ma60,1.5,30,10086,1427,-0.6927759468120546,-4.896522914888846,0.5738647630378743,0.8837939090656746,-1.8909842930773375,-4.499866584636562,-7219.243903069353,7.067974772249475,29.0,0.5188379932579814,0.694474570082234,3671,498,-0.710739073380988,-5.239203089119692,0.569871969490602,0.9017543281492275,-1.7204431202670614,-2.418548049259168,-2625.629659277548,7.371485943775101,30.0,0.5137564696268047,0.7107873248904065
ma60.1.5sd.60m,SPY,ma60,1.5,60,8228,1496,-0.5667657347224807,-3.1172115409736434,0.6571463296062227,0.9083410266237666,-1.213858891242358,-2.9575611320419175,-4939.750631991347,5.5,29.0,0.8282693242586291,0.5485399675847105,2784,498,-1.145899191009775,-6.405990658175128,0.6422413793103449,0.8731555552695472,-1.8529160782761185,-2.6047746151933344,-3187.3118157777058,5.590361445783133,30.0,0.8128591954022989,0.5355967239172497
ma60.1.5sd.60m,QQQ,ma60,1.5,60,7936,1492,-0.8822820724572449,-4.69288909317741,0.6515877016129032,0.8927722118481499,-1.4180700653905371,-3.4504984019175886,-7479.888162582532,5.319034852546917,30.0,0.8176663306451613,0.539961780748256,2746,498,-1.1430632781968333,-6.302915184595389,0.6478514202476329,0.904254074046522,-1.3803202006885158,-1.9404133094560099,-3324.494182430031,5.514056224899599,31.0,0.8062636562272396,0.5543312363908773
ma60.1.5sd.60m,IWM,ma60,1.5,60,8092,1494,-0.2872594829068539,-1.555892728033643,0.6612703905091448,0.9681803083208552,-0.4118168121161806,-1.0027186686898235,-3984.8322223805517,5.4163319946452475,29.0,0.8240237271379139,0.5569583029398162,2660,498,-0.8897565352512767,-4.75251482684417,0.6402255639097745,0.9239803465686125,-1.0366145034311396,-1.4572420067674023,-2393.3673027384166,5.341365461847389,31.0,0.8056390977443609,0.5650114490800618
ma60.1.5sd.60m,DIA,ma60,1.5,60,7838,1427,-0.6869443595109307,-3.7731393762064998,0.6587139576422557,0.8924342516142425,-1.359845384978301,-3.235945867206544,-5669.300891283092,5.492641906096706,30.0,0.8290380199030365,0.5408370280934633,2816,498,-0.9202018369942326,-5.203390307180238,0.6427556818181818,0.8852203832824487,-1.6351087709829102,-2.2985875451513964,-2605.772015184358,5.6546184738955825,30.0,0.8107244318181818,0.5503702285516239
ma60.2sd.30m,SPY,ma60,2.0,30,7398,1496,-0.5472479348491056,-2.706243463912889,0.5556907272235739,0.908748588841717,-1.246413250462356,-3.0368796658535815,-4181.712614283394,4.945187165775401,30.0,0.4744525547445255,0.7311643562363385,2518,498,-0.7410357691082449,-3.746843507258153,0.5436854646544876,0.9126915031650007,-1.2091794139802576,-1.6998286536972738,-1862.3924012101204,5.056224899598393,30.0,0.4634630659253376,0.7455708075232347
