panel,symbol,predictor,target,kind,rho_search,t_search,n_search,rho_hold,t_hold,n_hold,scale_free
ETF,QQQ,fc_vol x eff_state,cost_opp_usd,interaction,-0.011083145394059092,-0.4674957636723681,1781,-0.02992820709146976,-0.8447570397400289,798,False
ETF,QQQ,trail_rv_5,eff_range,main,0.11041726506240636,4.7836079078342575,1856,0.0510164148332178,1.4412269336507508,798,True
ETF,QQQ,fc_vol x trail_rv_5,eff_range,interaction,0.10440184970589167,4.427677806603032,1781,0.023704395354902492,0.6689712669962626,798,True
ETF,QQQ,trail_rv_5,eff_mfe,main,-0.006707523913404684,-0.2888197345151503,1856,-0.048909509754182436,-1.3815605145813785,798,True
ETF,QQQ,fc_vol x trail_rv_5,eff_mfe,interaction,-0.011848737980169754,-0.49979344716607343,1781,-0.0652883671236617,-1.8459499628545344,798,True
ETF,QQQ,trail_rv_5,cost_opp_usd,main,0.6766350503370293,39.56795575782665,1856,0.35653932649133036,10.766803195192566,798,False
ETF,QQQ,fc_vol x trail_rv_5,cost_opp_usd,interaction,0.7197911854190214,43.73365173887225,1781,0.37746017118724806,11.500178209308956,798,False
ETF,QQQ,trail_rv_20,eff_range,main,0.08808012752359354,3.791927455683725,1841,0.011936683384773134,0.3367992771416678,798,True
ETF,QQQ,fc_vol x trail_rv_20,eff_range,interaction,0.09014289594935249,3.8176065802073826,1781,0.004621428997074544,0.130387949815668,798,True
ETF,QQQ,trail_rv_20,eff_mfe,main,-0.020523759455671736,-0.8803173626969137,1841,-0.053175675006340725,-1.5023960463121482,798,True
ETF,QQQ,fc_vol x trail_rv_20,eff_mfe,interaction,-0.021910819150811126,-0.9243806849124454,1781,-0.07539113648268149,-2.1331164824744437,798,True
ETF,QQQ,trail_rv_20,cost_opp_usd,main,0.6462973543861887,36.32034360792626,1841,0.2985321067728965,8.825053252247743,798,False
ETF,QQQ,fc_vol x trail_rv_20,cost_opp_usd,interaction,0.7121558667302743,42.787084039893706,1781,0.35423562905641487,10.687216727355889,798,False
ETF,QQQ,vol_state,eff_range,main,0.05135856770253649,2.2053488358213142,1841,0.06853484592365584,1.9381631116714062,798,True
ETF,QQQ,fc_vol x vol_state,eff_range,interaction,0.04581851602224691,1.934573958563865,1781,0.06230305830231678,1.7612071253182995,798,True
ETF,QQQ,vol_state,eff_mfe,main,0.01805166580188146,0.774245911996976,1841,0.003505776157654644,0.09891072515102618,798,True
ETF,QQQ,fc_vol x vol_state,eff_mfe,interaction,0.025334613025324193,1.0689112998250443,1781,-0.0016753685589446542,-0.04726803019674471,798,True
ETF,QQQ,vol_state,cost_opp_usd,main,0.1734860395984117,7.554249718807038,1841,0.17660570465821246,5.062229846157446,798,False
ETF,QQQ,fc_vol x vol_state,cost_opp_usd,interaction,0.1196529033385384,5.083262551671592,1781,0.15858480474751752,4.531573372059881,798,False
ETF,QQQ,fc_vol,eff_range,main,0.08855632545479215,3.749878455530413,1781,-0.0021510293684031297,-0.060688147169127016,798,True
ETF,QQQ,fc_vol,eff_mfe,main,-0.017833187718585133,-0.7522912731722574,1781,-0.0722866954861466,-2.0448080891556817,798,True
ETF,QQQ,fc_vol,cost_opp_usd,main,0.7004214589026508,41.39174901161579,1781,0.3460154350126644,10.405027606084534,798,False
ETF,QQQ,open1_ret_pct,eff_range,main,0.0245309885562517,1.0579994858719337,1861,0.03223453029824253,0.909920872995989,798,True
ETF,QQQ,fc_vol x open1_ret_pct,eff_range,interaction,0.024167626799607083,1.0196446551598641,1781,0.03196563538607927,0.902322672935877,798,True
ETF,QQQ,open1_ret_pct,eff_mfe,main,0.006967428582168968,0.3004157946285238,1861,0.005584888658151896,0.15757155697766653,798,True
ETF,QQQ,fc_vol x open1_ret_pct,eff_mfe,interaction,0.013701215635205384,0.5779467727090603,1781,0.007136743172942327,0.2013574313354639,798,True
ETF,QQQ,open1_ret_pct,cost_opp_usd,main,0.052757639097888775,2.277877112901545,1861,-0.07284827716642174,-2.0607782417621676,798,False
ETF,QQQ,fc_vol x open1_ret_pct,cost_opp_usd,interaction,0.053612153778533164,2.2645205473478285,1781,-0.06180338480158742,-1.74702778093251,798,False
ETF,QQQ,open1_absret_pct,eff_range,main,0.0703253828481978,3.0396837429552064,1861,0.03804322241896395,1.0741089422294665,798,True
ETF,QQQ,fc_vol x open1_absret_pct,eff_range,interaction,0.09055821608825732,3.8353407418570393,1781,0.027546520950985934,0.777478031777465,798,True
ETF,QQQ,open1_absret_pct,eff_mfe,main,0.07179545901433788,3.103550886836621,1861,0.11005596034561507,3.124038056591895,798,True
ETF,QQQ,fc_vol x open1_absret_pct,eff_mfe,interaction,0.04996242115600771,2.1099597953980416,1781,0.07669742869086582,2.1702935400386396,798,True
ETF,QQQ,open1_absret_pct,cost_opp_usd,main,0.4092385106371318,19.338280288659174,1861,0.17702320831978785,5.074583864428971,798,False
ETF,QQQ,fc_vol x open1_absret_pct,cost_opp_usd,interaction,0.566952867111963,29.029488221132922,1781,0.24834159071615278,7.233175659427467,798,False
ETF,QQQ,open1_range_pct,eff_range,main,0.09245278527004167,4.003351671303262,1861,0.014518058036350368,0.4096479971629741,798,True
ETF,QQQ,fc_vol x open1_range_pct,eff_range,interaction,0.10185416580270416,4.318483666475887,1781,0.005585124536395677,0.1575782122332699,798,True
ETF,QQQ,open1_range_pct,eff_mfe,main,0.0005053697081492499,0.021789584912966467,1861,0.005210213829370262,0.14700021704866653,798,True
ETF,QQQ,fc_vol x open1_range_pct,eff_mfe,interaction,-0.006508370517403679,-0.27451712470005635,1781,-0.035036898429545806,-0.9891198517957711,798,True
ETF,QQQ,open1_range_pct,cost_opp_usd,main,0.667113745603544,38.61082102761966,1861,0.3879794188577868,11.876560773039879,798,False
ETF,QQQ,fc_vol x open1_range_pct,cost_opp_usd,interaction,0.7349016557685728,45.70632059547268,1781,0.4262345717059531,13.293597893480982,798,False
ETF,QQQ,open1_closeloc,eff_range,main,0.01513640534499445,0.6526978779917896,1861,0.022507931941425956,0.6351878223734571,798,True
ETF,QQQ,fc_vol x open1_closeloc,eff_range,interaction,0.0567532566873202,2.397614228268823,1781,0.008174361440781533,0.2306348229544227,798,True
ETF,QQQ,open1_closeloc,eff_mfe,main,-0.005003587758646334,-0.21573800222698702,1861,0.017921128883266867,0.5056984805455664,798,True
ETF,QQQ,fc_vol x open1_closeloc,eff_mfe,interaction,-0.006900881300877403,-0.29107363712313106,1781,-0.02431450038892846,-0.6861993437025711,798,True
ETF,QQQ,open1_closeloc,cost_opp_usd,main,0.020478883520846508,0.8831552562411137,1861,-0.035742356031904704,-1.0090607112617531,798,False
ETF,QQQ,fc_vol x open1_closeloc,cost_opp_usd,interaction,0.3357487651055195,15.033974944743587,1781,0.0810832156182455,2.2951963423040227,798,False
ETF,QQQ,open1_vol_share,eff_range,main,-0.08626763107675933,-3.7334440131674245,1861,-0.12892998305598438,-3.6681781795271653,798,True
ETF,QQQ,fc_vol x open1_vol_share,eff_range,interaction,0.000416253774571037,0.017556833735810903,1781,-0.08573972765435103,-2.4279561821091504,798,True
ETF,QQQ,open1_vol_share,eff_mfe,main,-0.09644702762546581,-4.17789870327937,1861,-0.10444378301066125,-2.9629266052588306,798,True
ETF,QQQ,fc_vol x open1_vol_share,eff_mfe,interaction,-0.08213267760981359,-3.4759517983772903,1781,-0.11532116902057163,-3.27546361693484,798,True
ETF,QQQ,open1_vol_share,cost_opp_usd,main,-0.33416628484390787,-15.286725012628882,1861,-0.1851919900175063,-5.316878471273311,798,False
ETF,QQQ,fc_vol x open1_vol_share,cost_opp_usd,interaction,0.38140593991385857,17.40251008473775,1781,0.1321859677763767,3.7624407610097195,798,False
ETF,QQQ,open5_ret_pct,eff_range,main,0.048961483993397815,2.11356419717017,1861,0.06259325321735519,1.7694426595669324,798,True
ETF,QQQ,fc_vol x open5_ret_pct,eff_range,interaction,0.038243286097767906,1.6142135830705917,1781,0.06457158012737005,1.825598346832684,798,True
ETF,QQQ,open5_ret_pct,eff_mfe,main,0.007755099710304752,0.3343798825783687,1861,-0.004708447438630736,-0.13284312232124837,798,True
ETF,QQQ,fc_vol x open5_ret_pct,eff_mfe,interaction,0.009229387670968519,0.3892954790734993,1781,0.004463686240372004,0.12593734120319333,798,True
ETF,QQQ,open5_ret_pct,cost_opp_usd,main,-0.020030667730181872,-0.8638180303219132,1861,-0.0909963733747416,-2.5780192534160755,798,False
ETF,QQQ,fc_vol x open5_ret_pct,cost_opp_usd,interaction,-0.01700963864101273,-0.7175396381638257,1781,-0.08056260558218621,-2.280363018213225,798,False
ETF,QQQ,open5_absret_pct,eff_range,main,0.10563019344381276,4.579987157928008,1861,0.09403485330899719,2.664857933341553,798,True
ETF,QQQ,fc_vol x open5_absret_pct,eff_range,interaction,0.11604012087891899,4.92765127800384,1781,0.07731696724376193,2.1879295165782535,798,True
ETF,QQQ,open5_absret_pct,eff_mfe,main,0.1451889917155674,6.3270278862110025,1861,0.14008516957659162,3.991648826736436,798,True
ETF,QQQ,fc_vol x open5_absret_pct,eff_mfe,interaction,0.10246782217168746,4.3447771411961025,1781,0.091625262411338,2.5959866375545264,798,True
ETF,QQQ,open5_absret_pct,cost_opp_usd,main,0.40608968251501715,19.159964703800437,1861,0.22736966258921334,6.5874219194783565,798,False
ETF,QQQ,fc_vol x open5_absret_pct,cost_opp_usd,interaction,0.5791153191114871,29.96156846394988,1781,0.3082399378966279,9.141637551226216,798,False
ETF,QQQ,open5_range_pct,eff_range,main,0.08985622884562104,3.8899881360930273,1861,0.030760460273363426,0.8682702618248965,798,True
ETF,QQQ,fc_vol x open5_range_pct,eff_range,interaction,0.10322090787839139,4.377051630959959,1781,0.01890332132437082,0.5334236402557458,798,True
ETF,QQQ,open5_range_pct,eff_mfe,main,0.017483384079958128,0.753930961127766,1861,0.03126370324731991,0.8824890011708134,798,True
ETF,QQQ,fc_vol x open5_range_pct,eff_mfe,interaction,0.0051161935237475165,0.21579462428585355,1781,-0.018826079717742288,-0.5312432225144265,798,True
ETF,QQQ,open5_range_pct,cost_opp_usd,main,0.6776239588100547,39.728279631744954,1861,0.43038862070235295,13.452436865148606,798,False
ETF,QQQ,fc_vol x open5_range_pct,cost_opp_usd,interaction,0.7412842891034217,46.582900616487336,1781,0.4482296628755238,14.146833226312612,798,False
ETF,QQQ,open5_closeloc,eff_range,main,0.053603938991022775,2.3145216327745137,1861,0.054725728724558435,1.546320090314299,798,True
ETF,QQQ,fc_vol x open5_closeloc,eff_range,interaction,0.06935898335289768,2.9324987585838294,1781,0.03636900044052055,1.0267750586526994,798,True
ETF,QQQ,open5_closeloc,eff_mfe,main,0.007315271417533407,0.31541457644432414,1861,0.01132023923606271,0.3194037183597979,798,True
ETF,QQQ,fc_vol x open5_closeloc,eff_mfe,interaction,-0.017378026935886175,-0.7330844839072914,1781,-0.026988418418496724,-0.7617144435850052,798,True
ETF,QQQ,open5_closeloc,cost_opp_usd,main,-0.05510746157636113,-2.379636076849028,1861,-0.08712010437549965,-2.4673419113030386,798,False
ETF,QQQ,fc_vol x open5_closeloc,cost_opp_usd,interaction,0.26461366537313713,11.573468387989367,1781,0.06658397667971173,1.8827432964981134,798,False
ETF,QQQ,open5_vol_share,eff_range,main,-0.09030483390206523,-3.909568085256599,1861,-0.10142770396090085,-2.876461846574126,798,True
ETF,QQQ,fc_vol x open5_vol_share,eff_range,interaction,0.010088538519584411,0.4255379848664577,1781,-0.06972438768052334,-1.971966243934506,798,True
ETF,QQQ,open5_vol_share,eff_mfe,main,-0.11277347700055737,-4.893572473808836,1861,-0.07703532248858218,-2.1799118148232113,798,True
ETF,QQQ,fc_vol x open5_vol_share,eff_mfe,interaction,-0.08231201230025711,-3.483593169953426,1781,-0.1036223157840499,-2.939368751705848,798,True
ETF,QQQ,open5_vol_share,cost_opp_usd,main,-0.2738873168542267,-12.278465608770473,1861,-0.19610502029439444,-5.642361802446599,798,False
ETF,QQQ,fc_vol x open5_vol_share,cost_opp_usd,interaction,0.4407967084633132,20.712861612452194,1781,0.1297467246953786,3.691811842309791,798,False
ETF,QQQ,open15_ret_pct,eff_range,main,0.09582939867649863,4.150895434180975,1861,0.10720156499810574,3.04205879619931,798,True
ETF,QQQ,fc_vol x open15_ret_pct,eff_range,interaction,0.08075845179590725,3.417407872890342,1781,0.10301897050372599,2.9220700264391177,798,True
ETF,QQQ,open15_ret_pct,eff_mfe,main,0.03682902206343094,1.5890026274142233,1861,-0.030847762702589637,-0.8707368764643295,798,True
ETF,QQQ,fc_vol x open15_ret_pct,eff_mfe,interaction,0.034249027584720905,1.4454100886331507,1781,-0.030277196366619793,-0.8546166377298439,798,True
ETF,QQQ,open15_ret_pct,cost_opp_usd,main,0.007471808264697,0.32216439176245343,1861,-0.046684246511929955,-1.3185623134306816,798,False
ETF,QQQ,fc_vol x open15_ret_pct,cost_opp_usd,interaction,0.015466731923315866,0.6524368531780294,1781,-0.03981779689776183,-1.1242899064228007,798,False
ETF,QQQ,open15_absret_pct,eff_range,main,0.11404208720351874,4.949342485817075,1861,0.11360420136306129,3.2260541436681507,798,True
ETF,QQQ,fc_vol x open15_absret_pct,eff_range,interaction,0.13467638079282104,5.7326328044448,1781,0.09248476993256695,2.620547871396115,798,True
ETF,QQQ,open15_absret_pct,eff_mfe,main,0.23446322785172768,10.39901793742596,1861,0.28477594674440276,8.381564352887237,798,True
ETF,QQQ,fc_vol x open15_absret_pct,eff_mfe,interaction,0.1859805613213681,7.983610760094467,1781,0.22664441831060772,6.5652702229044655,798,True
ETF,QQQ,open15_absret_pct,cost_opp_usd,main,0.4170194045849497,19.78249252421256,1861,0.3414382309282894,10.249084741277787,798,False
ETF,QQQ,fc_vol x open15_absret_pct,cost_opp_usd,interaction,0.5876835721921948,30.636153016054514,1781,0.39589598482172256,12.163407054487378,798,False
ETF,QQQ,open15_range_pct,eff_range,main,0.09179667945592869,3.9746989441296243,1861,0.07481499542846783,2.1167230379562842,798,True
ETF,QQQ,fc_vol x open15_range_pct,eff_range,interaction,0.10569215558232362,4.483013999803844,1781,0.047513602340564044,1.3420393986788013,798,True
ETF,QQQ,open15_range_pct,eff_mfe,main,0.0687966513019583,2.973289433564478,1861,0.10690223391172426,3.033466345239217,798,True
