strategy,symbol,family,newly_added,trades,net_pnl,expectancy_trade,expectancy_session,stressed_expectancy_trade,profit_factor,win_rate,max_dd,dd_over_mll,sharpe,sortino,t_stat,consec_losing_days,median_hold_min,trades_per_session,time_in_market,mc_prob_dd_exceeds_mll,best_twin_pass,dll_breach_rate,verdict
volume.climax_reversion,NQ,volume,False,1044,-12536.319999999989,-12.007969348658996,-40.43974193548384,-17.007969348658996,0.9175133136009024,0.603448275862069,-22154.82000000001,11.077410000000006,-0.67842177209115,-0.6631738587042817,-0.7524546900419442,6,2.0,3.367741935483871,0.0353848692352116,,,,REJECT
added.donchian_breakout,NQ,added,True,515,-39541.70000000001,-76.78,-127.55387096774196,-81.78,0.6755965395170255,0.0776699029126213,-51172.07999999998,25.58603999999999,-1.333937171881452,-1.77468190158495,-1.479503345108784,3,3.0,1.6612903225806452,0.0834914611005692,,,,REJECT
added.bollinger_revert.2sd,NQ,added,True,3841,13301.019999999986,3.462905493361112,42.90651612903221,-1.5370945066388877,1.0336633165208509,0.6605050768029159,-14784.079999999976,7.392039999999988,0.4999741582634455,0.5648631739732709,0.554533942985776,4,2.0,12.390322580645162,0.1043148255094464,1.0,0.235,0.3161290322580645,REJECT
added.vwap_trend,NQ,added,True,3570,-98339.6,-27.54610644257701,-317.2245161290323,-32.546106442577006,0.903083607531757,0.242296918767507,-98554.37999999996,49.27718999999998,-1.276904194957257,-1.6284179257236648,-1.4162466326342047,9,4.0,11.516129032258064,0.5561422324890686,,,,REJECT
trend.ret_15.q80,MES,trend,False,5607,-15996.790000000006,-2.853003388621365,-64.24413654618476,-4.103003388621365,0.6781179725089781,0.2207954342785803,-15895.070000000014,7.947535000000007,-7.355935129911068,-11.482228465644416,-7.312018706784807,17,3.0,22.518072289156628,0.3340728643474152,,,,REJECT
trend.ret_15.q90,MES,trend,False,4162,-12033.89,-2.891371936568956,-48.32887550200803,-4.141371936568956,0.6377793510068764,0.2294569918308505,-11910.829999999993,5.955414999999996,-7.695700863507417,-11.859457486877313,-7.649755970110972,17,2.0,16.714859437751002,0.1713144136648897,,,,REJECT
trend.ret_30.q80,MES,trend,False,5602,-15878.190000000006,-2.8343787932881104,-63.76783132530123,-4.084378793288111,0.6809812191442732,0.2158157800785433,-15776.440000000006,7.888220000000003,-7.384476656825072,-11.432882746186872,-7.340389835000277,17,3.0,22.497991967871485,0.3395988044248605,,,,REJECT
trend.ret_30.q90,MES,trend,False,4159,-12035.23,-2.8937797547487367,-48.33425702811245,-4.143779754748737,0.6382406719126527,0.2274585236835777,-11912.169999999993,5.956084999999996,-7.691068758208559,-11.878266122393184,-7.645151519419267,20,2.0,16.70281124497992,0.1715814665310859,,,,REJECT
trend.ret_60.q80,MES,trend,False,5436,-16130.670000000006,-2.967378587196467,-64.78180722891568,-4.217378587196468,0.6679504832426941,0.220382634289919,-15996.480000000016,7.998240000000008,-7.40790498101121,-11.348683954911996,-7.363678287344165,22,3.0,21.83132530120482,0.3257325979108249,,,,REJECT
trend.ret_60.q90,MES,trend,False,4093,-12080.96,-2.9516149523576827,-48.51791164658635,-4.201614952357683,0.6313039571858275,0.2301490349376985,-11965.369999999988,5.982684999999994,-7.846802581061979,-11.90416282676627,-7.799955579796713,17,2.0,16.437751004016064,0.1674318758409597,,,,REJECT
trend.ma_agree.30_120,MES,trend,False,5380,-18929.850000000017,-3.5185594795539026,-76.02349397590368,-4.768559479553902,0.6581455195579151,0.1960966542750929,-18852.95,9.426475,-7.257849554257665,-10.111510932888754,-7.214518721891369,11,4.0,21.606425702811244,0.5131831674524184,,,,REJECT
trend.multi_horizon_agree,MES,trend,False,6876,-20843.72000000001,-3.031372891215822,-83.70971887550206,-4.281372891215822,0.6769467805913143,0.2716695753344968,-20667.09000000002,10.33354500000001,-7.9017774224364095,-11.981355028518289,-7.854602210229575,13,3.0,27.6144578313253,0.4822563912940765,,,,REJECT
trend.accel_confirm,MES,trend,False,8656,-28379.07000000002,-3.278543207024029,-113.97216867469888,-4.528543207024029,0.6422457567292275,0.323590573012939,-28282.65000000002,14.141325000000009,-11.256267484388758,-14.195223284685424,-11.189065286852143,15,2.0,34.76305220883534,0.4280241169280703,,,,REJECT
breakout.opening_range.q90,MES,breakout,False,780,-3254.0999999999995,-4.171923076923077,-13.068674698795178,-5.421923076923077,0.7061819088018113,0.1012820512820512,-3868.909999999999,1.9344549999999994,-1.891047782223559,-3.2138437073820074,-1.87975784381472,7,4.0,3.132530120481928,0.2115161412915087,,,,REJECT
