symbol,strategy,kind,base_per_trade,gated_per_trade,base_per_trade_norm,gated_per_trade_norm,base_capture,gated_capture,ctrl_norm_p50,ctrl_norm_p95,ctrl_norm_pctile,was_phase3_winner
MES,breakout.opening_range.q95,breakout,-7.080389610389613,-11.660140845070423,-0.02207878067490118,-0.02824624379723069,-0.0028864208635378473,-0.004719433306360838,-0.01948418808645863,-0.00823687180212224,0.0,False
MES,breakout.range_expansion.q80,breakout,-2.8818075801749266,-1.594790619765494,-0.011406218204317349,-0.0057410232032937165,-0.001148470273168228,0.0018895815345391094,-0.00908983760533542,-0.0050922807551739505,0.875,False
MES,breakout.range_expansion.q90,breakout,-2.6402049780380685,-1.12017361111111,-0.011614884317534012,-0.006837003496438136,-0.00023630029956779914,0.0014058848259369929,-0.010474308420474455,-0.007379385868717947,0.95,False
MES,breakout.failed_reversal,breakout,-2.312057761732853,-1.9758139534883716,-0.007345057512092929,-0.004518967143788995,8.893022026745128e-05,0.00023054702933371907,-0.007418104385190328,-0.004706333425582839,0.975,False
MES,breakout.compression_expansion,breakout,-2.314447544642856,-1.216105919003115,-0.011311476019596345,-0.007003481639685526,0.0005666125462754754,0.001455610655793285,-0.009042266849539595,-0.005024745260696571,0.75,False
MES,revert.z_60.q90,reversion,-2.1865160230073966,-3.201086323957321,-0.0046410071066560815,-0.005346618344768904,0.0014025566167895174,-0.002725879582122208,-0.004412907282229981,-0.0018518137407909769,0.175,False
MES,revert.z_60.q95,reversion,-1.61242327365729,-2.092262773722628,-0.00395363437300896,-0.0032759233298734905,0.002726346467056435,0.0009357497072956833,-0.0031514077701150023,-0.0011045937295113537,0.45,False
MES,revert.vwap.q90,reversion,-0.5972032902467684,0.37506398537477176,0.004706700875631779,0.0073828344680969766,0.0032396008811714397,0.005628059833734907,0.004416102496108937,0.007958577265039176,0.9,False
MES,revert.vwap.q95,reversion,-0.1037209302325582,1.5844871794871787,0.004595379191459589,0.00822151420955807,0.0020682628370772955,0.004574776346778896,0.0037308048103820374,0.00993492262952885,0.85,False
MES,revert.z_calm_only,reversion,-2.2641527446300707,-2.868936170212766,-0.006204063590728596,-0.005647595633294445,0.00035063915419737934,-0.0005424635984322802,-0.004727587549275042,-0.0025088256996308603,0.275,False
MES,session.late_day_continuation,session,-3.4093601190476193,-3.5858432708688244,-0.013471286022873119,-0.012400664434618226,-0.002566272070575023,-0.0023687577131542904,-0.01149483560219226,-0.0074824431367788964,0.375,False
MES,session.late_day_fade,session,-1.5306398809523816,-1.3541567291311765,-0.0032420928166894403,-0.001155439615192536,0.002566272070575023,0.0023687577131542904,-0.003924852617001551,0.00027733571140377186,0.875,False
MES,session.opening_drive,session,-2.101132756132755,-1.9881219110378912,-0.013547420044452155,-0.010575715949529087,0.0010392131454110736,0.0010578040169429465,-0.011385719012477025,-0.005106358436237498,0.55,False
MES,session.midday_reversion,session,-1.024761904761905,-1.208636363636363,-0.0019703305796555564,-0.0020481000484381126,0.0030846082115624533,0.0020071153141994367,-0.0012950786744085323,0.0007297069808283963,0.375,False
MES,vol.expansion_trend,volatility,-3.260862759373861,-4.488533440773569,-0.013329202662724493,-0.013840093622502584,-0.00441602065213801,-0.00905914209381908,-0.01274229787045486,-0.0085840136199916,0.275,False
MES,vol.contraction_revert,volatility,-1.5094566623544636,-1.2311441307578015,-0.004175533955736504,-0.002661273724238829,0.003018545762220918,0.003015193501286091,-0.0031922098633117898,-0.0015414675561441192,0.7,False
MES,vol.vol_of_vol_shock,volatility,-5.598850102669403,-6.200263157894737,-0.015008731622895406,-0.015664880425610643,-0.003097312528743518,-0.005126281005185048,-0.014462206630010908,-0.010537575492948988,0.4,False
MES,volume.heavy_continuation.q80,volume,-2.595684420109506,-1.954393232205367,-0.009812475647393184,-0.00646955988733609,-0.001026508828230009,0.0031960147007635176,-0.008320576477276714,-0.007037521448346632,1.0,False
MES,volume.heavy_continuation.q90,volume,-2.582315601251676,-1.8093057110862267,-0.010035579705007694,-0.006408687538183887,-0.0005107135506787916,0.0021336901538336357,-0.008539993099484939,-0.007017241982600965,0.975,False
MES,volume.climax_reversion,volume,-2.0495246800731266,-1.6202192982456138,-0.004408836295890312,-0.00204464320570668,0.0004675188722631725,0.0007006821479750286,-0.001697942004193871,0.001616336365368928,0.45,False
MNQ,trend.ret_15.q80,trend,-2.170465325728011,-1.0896969696969692,-0.005815598908588982,-0.0040140135579160895,-0.0013378442296384432,0.0015739072591657054,-0.005698209837555592,-0.004202312969720126,0.95,False
MNQ,trend.ret_15.q90,trend,-2.2166777408637883,-1.3229298380878942,-0.004875931193840876,-0.003109510841380359,-0.0010663523483156136,0.0007085334252363096,-0.005238324007656215,-0.0037620152473081163,1.0,True
