conditioner,symbol,bucket,target,n,mean,t,hit,passes_bonf
on_ret_over_vol,MES,0-10,signed_cont,21,0.14725658264018568,0.9684936695646462,0.5714285714285714,False
on_ret_over_vol,MES,10-25,signed_cont,29,0.008207334266481849,0.08582779929436901,0.4827586206896552,False
on_ret_over_vol,MES,25-50,signed_cont,51,-0.06721210075799469,-0.8812730729579169,0.43137254901960786,False
on_ret_over_vol,MES,50-75,signed_cont,41,-0.02718323257471504,-0.2567179960392667,0.43902439024390244,False
on_ret_over_vol,MES,75-90,signed_cont,25,0.21165944444004794,1.652247672878451,0.68,False
on_ret_over_vol,MES,90-100,signed_cont,24,0.060447164677276954,0.4918548619301738,0.5,False
on_ret_over_vol,MNQ,0-10,signed_cont,25,0.1724817535434564,0.8870535552336833,0.56,False
on_ret_over_vol,MNQ,10-25,signed_cont,30,0.0012928860925494796,0.00907516623186808,0.4666666666666667,False
on_ret_over_vol,MNQ,25-50,signed_cont,44,0.08612903485940974,0.6971515963431659,0.5,False
on_ret_over_vol,MNQ,50-75,signed_cont,47,-0.014650906306931598,-0.11037711843459053,0.425531914893617,False
on_ret_over_vol,MNQ,75-90,signed_cont,24,0.38167820097737004,1.767946940219629,0.7083333333333334,False
on_ret_over_vol,MNQ,90-100,signed_cont,21,-0.05270797852681089,-0.29433152867739226,0.42857142857142855,False
on_ret_over_vol,NQ,0-10,signed_cont,32,0.06446501439371054,0.38827038860568985,0.5,False
on_ret_over_vol,NQ,10-25,signed_cont,37,0.037299298702427305,0.2731452244486161,0.4864864864864865,False
on_ret_over_vol,NQ,25-50,signed_cont,69,0.05246071396382517,0.49469674007741293,0.5217391304347826,False
on_ret_over_vol,NQ,50-75,signed_cont,55,-0.008700474718662416,-0.07137259284520986,0.43636363636363634,False
on_ret_over_vol,NQ,75-90,signed_cont,32,0.14139895388680307,0.6915328054995589,0.71875,False
on_ret_over_vol,NQ,90-100,signed_cont,27,-0.08878913629941519,-0.6251790582187617,0.37037037037037035,False
on_absret_pct,ES,0-10,signed_cont,25,-0.1372108970712005,-1.9080795130753392,0.32,False
on_absret_pct,ES,10-25,signed_cont,40,-0.1645739073982527,-1.514501117742294,0.45,False
on_absret_pct,ES,25-50,signed_cont,48,0.022819999669908737,0.30612091063755986,0.4583333333333333,False
on_absret_pct,ES,50-75,signed_cont,58,-0.0066401291018588,-0.07833293258151096,0.5,False
on_absret_pct,ES,75-90,signed_cont,53,0.1564410384585718,1.8999639526519891,0.5849056603773585,False
on_absret_pct,ES,90-100,signed_cont,28,-0.15156941481450278,-0.903115233182854,0.39285714285714285,False
on_absret_pct,MES,0-10,signed_cont,17,-0.09816934987283878,-1.0111503472641092,0.35294117647058826,False
on_absret_pct,MES,10-25,signed_cont,27,-0.08938026005402668,-0.7885001380867914,0.5185185185185185,False
on_absret_pct,MES,25-50,signed_cont,41,0.02362009518113514,0.30453210795002883,0.43902439024390244,False
on_absret_pct,MES,50-75,signed_cont,45,0.028461125297267003,0.2728295020730172,0.5111111111111111,False
on_absret_pct,MES,75-90,signed_cont,39,0.17861250580763502,1.773282724981008,0.6153846153846154,False
on_absret_pct,MES,90-100,signed_cont,22,0.018062410009196797,0.11845639736864197,0.45454545454545453,False
on_absret_pct,MNQ,10-25,signed_cont,21,0.126606260115462,0.8932042696999446,0.5238095238095238,False
on_absret_pct,MNQ,25-50,signed_cont,48,-0.07886015648028777,-0.6175737281854305,0.3958333333333333,False
on_absret_pct,MNQ,50-75,signed_cont,40,-0.024688054268932336,-0.17874507031616085,0.5,False
on_absret_pct,MNQ,75-90,signed_cont,39,0.20576754501567956,1.511294051936413,0.5641025641025641,False
on_absret_pct,MNQ,90-100,signed_cont,30,0.2474983327712754,1.227886051612703,0.5666666666666667,False
on_absret_pct,NQ,0-10,signed_cont,26,0.1079403039942195,0.5167945818798569,0.5769230769230769,False
on_absret_pct,NQ,10-25,signed_cont,25,0.09233029000636028,0.6953946823853665,0.52,False
on_absret_pct,NQ,25-50,signed_cont,46,-0.039477837829976735,-0.32193235936400916,0.45652173913043476,False
on_absret_pct,NQ,50-75,signed_cont,56,-0.08613511833813699,-0.7658070009774888,0.44642857142857145,False
on_absret_pct,NQ,75-90,signed_cont,60,0.10657912905330673,1.0573985010857732,0.5333333333333333,False
on_absret_pct,NQ,90-100,signed_cont,39,0.09850696873761595,0.49414010760905913,0.5384615384615384,False
